1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
João Pedro Martins,30,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Superior Incompleto,Palmas,TO,"R$ 6.878,01","R$ 1.238,04",Moto,Gasolina,4277,Mensal,Localização,Não influencia minhas escolhas,Preços,Mais segurança nas lojas de conveniência,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Danilo Ramos,35,Masculino Cisgênero,Pardo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Vitória,ES,"R$ 1.716,62","R$ 343,32",Caminhão,Diesel,4366,Diária,Localização,Influencia minhas escolhas,Acessibilidade,Mais segurança nas lojas de conveniência,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Alícia Farias,72,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,São José do Rio Preto,SP,"R$ 6.614,43","R$ 1.190,60",Ônibus,Diesel,107,Mensal,Serviços adicionais,Não influencia minhas escolhas,Localização,Mais segurança nas lojas de conveniência,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Ofertas mais atraentes
João Gabriel Martins,67,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,São José do Campos,SP,"R$ 8.053,80","R$ 1.409,42",Moto,Gasolina,514,Quinzenal,Serviços adicionais,Fator de decisão,Localização,Mais segurança nas lojas de conveniência,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Isabelly Costela,49,Feminino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Completo,Recife,PE,"R$ 7.047,02","R$ 1.233,23",Ônibus,Diesel,698,Eventual,Localização,Não considero relevante,Localização,Mais vantagens com o programa de fidelidade,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Ofertas mais atraentes
Yuri Fernandes,69,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Recife,PE,"R$ 2.642,82","R$ 660,71",Carro,Gasolina,2936,Quinzenal,Preço,Influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Daniela Moreira,61,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,São Luís,CE,"R$ 3.979,05","R$ 1.094,24",Caminhonete,Diesel,3363,Mensal,Preço,Influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Bryan Freitas,62,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Básico Completo,Santos,SP,"R$ 4.004,96","R$ 800,99",Carro,Gasolina,2597,Quinzenal,Localização,Influencia minhas escolhas,Banco24h,Mais vantagens com o programa de fidelidade,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Gabrielly Silveira,24,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Incompleto,Maceió,AL,"R$ 7.554,34","R$ 1.322,01",Moto,Gasolina,3887,Mensal,Preço,Influencia minhas escolhas,Localização,Mais vantagens com o programa de fidelidade,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Ofertas mais atraentes
Alexandre da Paz,29,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,Piracicaba,SP,"R$ 6.462,76","R$ 1.163,30",Moto,Gasolina,4017,Diária,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Pedro Nascimento,53,Masculino Cisgênero,Indígena,Sim,Solteiro(a),Ensino Superior Incompleto,Vila Velha,ES,"R$ 3.589,72","R$ 987,17",Moto,Gasolina,2307,Mensal,Preço,Não considero relevante,Localização,Mais vantagens com o programa de fidelidade,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Milena Moura,42,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,Curitiba,PR,"R$ 2.929,44","R$ 732,36",Ônibus,Diesel,2722,Quinzenal,Preço,Não influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Anthony da Paz,64,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 8.257,32","R$ 1.403,74",Carro,Álcool,1168,Mensal,Preço,Não considero relevante,Preços,Mais vantagens com o programa de fidelidade,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Ana Lívia Gonçalves,29,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 9.817,18","R$ 1.668,92",Carro,GNV,4195,Mensal,Serviços adicionais,Não considero relevante,Segurança,Mais vantagens com o programa de fidelidade,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Sabrina Sales,31,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Completo,Campinas,SP,"R$ 8.926,87","R$ 1.517,57",Caminhão,Diesel,4561,Semanal,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Carolina Jesus,28,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Incompleto,São José do Campos,SP,"R$ 1.708,86","R$ 341,77",Carro,Diesel,2568,Diária,Localização,Influencia minhas escolhas,Descontos e promoções,Melhorias na qualidade do atendimento,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Clara da Luz,65,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,São José do Rio Preto,SP,"R$ 3.164,00","R$ 870,10",Carro,Gasolina,853,Mensal,Localização,Influencia minhas escolhas,Localização,Melhorias na qualidade do atendimento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Leonardo da Rosa,24,Masculino Cisgênero,Indígena,Sim,Solteiro(a),Ensino Superior Completo,Maringá,PR,"R$ 5.497,97","R$ 1.044,61",Carro,Álcool,417,Mensal,Combustível com qualidade,Influencia minhas escolhas,Combustível com qualidade,Melhorias na qualidade do atendimento,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Raul Moura,79,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Porto Velho,RO,"R$ 1.585,64","R$ 317,13",Caminhão,Diesel,2491,Diária,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Melhorias na qualidade do atendimento,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Ofertas mais atraentes
Heloísa Caldeira,63,Outros,Indígena,Sim,Divorciado(a),Ensino Superior Completo,Duque de Caxias,RJ,"R$ 2.796,56","R$ 699,14",Caminhonete,Diesel,4203,Semanal,Localização,Influencia minhas escolhas,Preços,Melhorias na qualidade do atendimento,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Quinzenal,Ofertas mais atraentes
Alexia Duarte,51,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 3.535,25","R$ 972,19",Carro,Gasolina,3426,Diária,Preço,Não considero relevante,Combustível com qualidade,Melhorias na qualidade do atendimento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Maria Eduarda da Costa,27,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Incompleto,Franca,SP,"R$ 3.873,30","R$ 1.065,16",Ônibus,Diesel,2986,Diária,Localização,Fator de decisão,Combustível com qualidade,Melhorias na qualidade do atendimento,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Luna Pinto,29,Feminino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Vila Velha,ES,"R$ 6.544,20","R$ 1.177,96",Carro,Gasolina,641,Diária,Serviços adicionais,Não influencia minhas escolhas,Combustível com qualidade,Melhorias na qualidade do atendimento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Camila Araújo,21,Feminino Cisgênero,Indígena,Sim,Casado(a),Ensino Médio Completo,Belém do Pará,PA,"R$ 3.879,48","R$ 1.066,86",Caminhão,Diesel,1440,Semanal,Preço,Influencia minhas escolhas,Localização,Melhorias na qualidade do atendimento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Sarah Porto,22,Feminino Transgênero,Preto(a),Não,Viúvo(a),Ensino Médio Incompleto,Recife,PE,"R$ 3.281,71","R$ 902,47",Carro,GNV,2325,Diária,Localização,Influencia minhas escolhas,Combustível com qualidade,Melhorias na qualidade do atendimento,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Natália Costa,26,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 3.330,80","R$ 915,97",Carro,Gasolina,2006,Diária,Localização,Fator de decisão,Combustível com qualidade,Melhorias na qualidade do atendimento,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Júlia Ramos,79,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Campinas,SP,"R$ 3.725,76","R$ 1.024,58",Caminhonete,Diesel,449,Eventual,Serviços adicionais,Não considero relevante,Combustível com qualidade,Melhorias na qualidade do atendimento,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Vitória Almeida,42,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Incompleto,Natal,RN,"R$ 1.504,81","R$ 300,96",Moto,Gasolina,1522,Diária,Localização,Não considero relevante,Lojas de Conveniência,Melhorias na qualidade do atendimento,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Ofertas mais atraentes
Agatha Pereira,30,Feminino Transgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Montes Claros,MG,"R$ 5.041,11","R$ 957,81",Moto,Gasolina,3693,Mensal,Localização,Não influencia minhas escolhas,Preços,Melhorias na qualidade do atendimento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Bianca Pires,53,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,São José do Rio Preto,SP,"R$ 3.703,97","R$ 1.018,59",Moto,Gasolina,4070,Semanal,Serviços adicionais,Influencia minhas escolhas,Preços,Melhorias na qualidade do atendimento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Isabella Moura,31,Feminino Transgênero,Branco(a),Não,Casado(a),Ensino Superior Incompleto,Campinas,SP,"R$ 7.024,83","R$ 1.229,35",Carro,Álcool,2614,Diária,Localização,Não influencia minhas escolhas,Preços,Melhorias na qualidade do atendimento,Muito Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Ofertas mais atraentes
Catarina Santos,59,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Superior Completo,Rio Branco ,AC,"R$ 7.442,23","R$ 1.302,39",Carro,Álcool,2176,Quinzenal,Preço,Não influencia minhas escolhas,Preços,Melhorias na qualidade do atendimento,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Ofertas mais atraentes
Maria Santos,29,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Básico Completo,Contagem,MG,"R$ 1.714,70","R$ 342,94",Ônibus,Diesel,2559,Diária,Combustível com qualidade,Fator de decisão,Lojas de Conveniência,Melhorias na qualidade do atendimento,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Ofertas mais atraentes
Letícia Ferreira,24,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Montes Claros,MG,"R$ 9.196,19","R$ 1.563,35",Moto,Gasolina,26,Diária,Serviços adicionais,Não considero relevante,Localização,Mais atendentes nos postos de abastecimento,Excelente,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Pedro Henrique Santos,65,Masculino Cisgênero,Indígena,Não,Solteiro(a),Ensino Médio Completo,Recife,PE,"R$ 9.006,12","R$ 1.756,19",Ônibus,Diesel,563,Diária,Combustível com qualidade,Fator de decisão,Combustível com qualidade,Mais atendentes nos postos de abastecimento,Regular,Localização de postos de abastecimento,Semanal,Ofertas mais atraentes
Luiz Miguel Duarte,49,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,São Paulo,SP,"R$ 9.081,37","R$ 1.543,83",Caminhonete,Diesel,2335,Semanal,Localização,Influencia minhas escolhas,Higiene,Mais atendentes nos postos de abastecimento,Excelente,Localização de postos de abastecimento,Semanal,Ofertas mais atraentes
Alana Cardoso,25,Feminino Transgênero,Preto(a),Não,Solteiro(a),Pós-graduação,Manaus,AM,"R$ 8.918,81","R$ 1.516,20",Ônibus,Diesel,1536,Quinzenal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais atendentes nos postos de abastecimento,Ruim,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Nicole Fernandes,53,Feminino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 9.319,04","R$ 1.584,24",Caminhão,Diesel,34,Quinzenal,Combustível com qualidade,Influencia minhas escolhas,Atendimento,Mais atendentes nos postos de abastecimento,Muito Bom,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Augusto Pinto,57,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 9.990,34","R$ 1.698,36",Carro,Álcool,3856,Quinzenal,Preço,Não considero relevante,Localização,Mais atendentes nas lojas de conveniência,Excelente,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Marcelo Peixoto,45,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,São José do Rio Preto,SP,"R$ 9.107,60","R$ 1.548,29",Moto,Gasolina,3309,Semanal,Localização,Fator de decisão,Localização,Mais atendentes nas lojas de conveniência,Regular,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Davi Lopes,66,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,São José do Campos,SP,"R$ 7.868,35","R$ 1.376,96",Caminhão,Diesel,1484,Quinzenal,Localização,Não influencia minhas escolhas,Preços,Mais terminais Banco24h,Excelente,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Caio Silva,65,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Porto Velho,RO,"R$ 8.194,95","R$ 1.393,14",Moto,Gasolina,1876,Quinzenal,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Mais bombas de auto-atendimento,Excelente,Localização de postos de abastecimento,Eventual,Ofertas mais atraentes
Renan da Cruz,40,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Recife,PE,"R$ 5.692,29","R$ 1.081,54",Carro,Álcool,1116,Mensal,Localização,Não influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Eventual,Ofertas mais atraentes
Benício Farias,44,Masculino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Superior Completo,Salvador,BA,"R$ 7.348,26","R$ 1.285,95",Caminhão,Diesel,2464,Diária,Preço,Influencia minhas escolhas,Preços,Mais opções de pagamento,Ruim,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Rebeca Silva,28,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,Contagem,MG,"R$ 5.477,70","R$ 1.040,76",Caminhão,Diesel,3465,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Localização,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Maria Alice Silveira,46,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 2.181,48","R$ 436,30",Carro,GNV,2944,Diária,Preço,Influencia minhas escolhas,Preços,Mais opções de pagamento,Regular,Localização de postos de abastecimento,Semanal,Ofertas mais atraentes
Rebeca Pinto,30,Feminino Transgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Londrina,PR,"R$ 4.448,76","R$ 889,75",Moto,Gasolina,3685,Mensal,Serviços adicionais,Fator de decisão,Serviços adicionais,Mais opções de pagamento,Bom,Localização de postos de abastecimento,Quinzenal,Ofertas mais atraentes
Luiz Henrique Pires,44,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,Rio de Janeiro,AL,"R$ 5.554,28","R$ 1.055,31",Moto,Gasolina,2009,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Serviços adicionais,Mais opções de pagamento,Muito Bom,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Brenda Fernandes,24,Feminino Transgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 5.968,94","R$ 1.134,10",Ônibus,Diesel,3263,Mensal,Serviços adicionais,Não considero relevante,Combustível com qualidade,Mais opções de pagamento,Bom,Localização de postos de abastecimento,Quinzenal,Ofertas mais atraentes
Luiz Felipe Ramos,65,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Pós-graduação,Jundiaí,SP,"R$ 3.421,93","R$ 941,03",Moto,Gasolina,1779,Quinzenal,Localização,Influencia minhas escolhas,Serviços adicionais,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Marcelo da Luz,42,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Palmas,TO,"R$ 3.484,39","R$ 958,21",Caminhonete,Diesel,3148,Quinzenal,Localização,Não influencia minhas escolhas,Serviços adicionais,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Eventual,Ofertas mais atraentes
Enrico Barbosa,66,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 2.319,62","R$ 463,92",Ônibus,Diesel,3033,Semanal,Combustível com qualidade,Não considero relevante,Combustível com qualidade,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Semanal,Ofertas mais atraentes
Davi Lucas da Rocha,74,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Curitiba,PR,"R$ 3.698,70","R$ 1.017,14",Caminhão,Diesel,3064,Diária,Localização,Influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Rodrigo Alves,79,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,Campo Grande,MS,"R$ 6.419,22","R$ 1.155,46",Caminhão,Diesel,1460,Mensal,Serviços adicionais,Fator de decisão,Serviços adicionais,Mais opções de pagamento,Ruim,Localização de postos de abastecimento,Semanal,Ofertas mais atraentes
Gustavo Vieira,63,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Londrina,PR,"R$ 5.626,23","R$ 1.068,98",Carro,Álcool,307,Mensal,Combustível com qualidade,Influencia minhas escolhas,Preços,Mais opções de pagamento,Bom,Localização de postos de abastecimento,Eventual,Ofertas mais atraentes
Eloah Rocha,43,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 2.958,63","R$ 739,66",Ônibus,Diesel,4149,Quinzenal,Localização,Fator de decisão,Serviços adicionais,Mais opções de pagamento,Excelente,Localização de postos de abastecimento,Eventual,Ofertas mais atraentes
Melissa Peixoto,59,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,Salvador,BA,"R$ 9.130,93","R$ 1.552,26",Carro,GNV,4813,Mensal,Preço,Não considero relevante,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Muito Bom,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Brenda Duarte,29,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Completo,Vila Velha,ES,"R$ 7.804,50","R$ 1.365,79",Moto,Gasolina,3951,Mensal,Serviços adicionais,Não considero relevante,Preços,Mais opções de produtos nas lojas de conveniência,Ruim,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Bernardo Martins,31,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 5.906,08","R$ 1.122,16",Ônibus,Diesel,1159,Quinzenal,Serviços adicionais,Não considero relevante,Serviços adicionais,Mais segurança nas lojas de conveniência,Regular,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Ana Vitória da Cunha,20,Outros,Preto(a),Sim,Casado(a),Ensino Superior Completo,Franca,SP,"R$ 5.547,49","R$ 1.054,02",Carro,Gasolina,2779,Diária,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais segurança nas lojas de conveniência,Muito Bom,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
Catarina das Neves,75,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Taubaté ,SP,"R$ 5.662,84","R$ 1.075,94",Ônibus,Diesel,4825,Diária,Preço,Fator de decisão,Serviços adicionais,Mais segurança nas lojas de conveniência,Regular,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Isabel Cardoso,27,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Médio Incompleto,Florianópolis,SC,"R$ 8.279,19","R$ 1.407,46",Caminhão,Diesel,1744,Semanal,Preço,Não influencia minhas escolhas,Serviços adicionais,Mais segurança nas lojas de conveniência,Regular,Localização de postos de abastecimento,Diária,Ofertas mais atraentes
Luiz Gustavo Porto,20,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,São José do Rio Preto,SP,"R$ 2.829,80","R$ 707,45",Caminhão,Diesel,350,Diária,Localização,Influencia minhas escolhas,Preços,Mais segurança nas lojas de conveniência,Bom,Localização de postos de abastecimento,Quinzenal,Ofertas mais atraentes
Lorena Souza,54,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Incompleto,Rio de Janeiro,RJ,"R$ 1.654,25","R$ 330,85",Ônibus,Diesel,3829,Quinzenal,Serviços adicionais,Não influencia minhas escolhas,Descontos e promoções,Mais segurança nas lojas de conveniência,Regular,Localização de postos de abastecimento,Mensal,Ofertas mais atraentes
João Pedro Almeida,40,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Piracicaba,SP,"R$ 7.839,09","R$ 1.371,84",Caminhonete,Diesel,4296,Mensal,Serviços adicionais,Não influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Mensal,Ofertas mais atraentes
Diogo Araújo,31,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Campo Grande,MS,"R$ 1.680,25","R$ 336,05",Moto,Gasolina,3358,Diária,Preço,Influencia minhas escolhas,Lojas de Conveniência,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Diária,Ofertas mais atraentes
Nicolas Araújo,18,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Santarém ,PA,"R$ 1.778,65","R$ 355,73",Carro,GNV,4566,Quinzenal,Serviços adicionais,Fator de decisão,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Excelente,Controle de abastecimentos,Diária,Ofertas mais atraentes
Thales Ribeiro,40,Masculino Transgênero,Preto(a),Sim,Viúvo(a),Ensino Superior Incompleto,Belo Horizonte,SC,"R$ 9.513,11","R$ 1.617,23",Caminhonete,Diesel,4272,Quinzenal,Localização,Não influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Regular,Controle de abastecimentos,Semanal,Ofertas mais atraentes
Maria Cecília Porto,66,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Superior Completo,São Luís,CE,"R$ 2.658,59","R$ 664,65",Ônibus,Diesel,4713,Semanal,Localização,Influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Excelente,Controle de abastecimentos,Diária,Ofertas mais atraentes
Stella Cunha,59,Outros,Preto(a),Sim,Viúvo(a),Ensino Médio Incompleto,Goiânia,GO,"R$ 7.594,36","R$ 1.329,01",Caminhão,Diesel,515,Diária,Localização,Não influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Bom,Controle de abastecimentos,Quinzenal,Ofertas mais atraentes
Gabrielly Moreira,59,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Superior Incompleto,Florianópolis,SC,"R$ 3.645,78","R$ 1.002,59",Moto,Gasolina,3432,Quinzenal,Preço,Influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Bom,Controle de abastecimentos,Eventual,Ofertas mais atraentes
Davi Lucca Fogaça,45,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,Maceió,AL,"R$ 3.455,26","R$ 950,20",Ônibus,Diesel,2337,Diária,Preço,Não considero relevante,Serviços adicionais,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Semanal,Ofertas mais atraentes
Marcos Vinicius da Conceição,27,Masculino Cisgênero,Amarelo(a),Sim,Divorciado(a),Ensino Médio Completo,Pelotas,RS,"R$ 3.472,00","R$ 954,80",Caminhão,Diesel,3701,Quinzenal,Combustível com qualidade,Influencia minhas escolhas,Serviços adicionais,Mais vantagens com o programa de fidelidade,Regular,Controle de abastecimentos,Mensal,Ofertas mais atraentes
Camila Alves,43,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Pelotas,RS,"R$ 6.918,88","R$ 1.245,40",Moto,Gasolina,1472,Mensal,Localização,Não considero relevante,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Regular,Controle de abastecimentos,Mensal,Ofertas mais atraentes
Yasmin Caldeira,25,Feminino Transgênero,Pardo(a),Não,Solteiro(a),Doutorado,São José do Campos,SP,"R$ 5.436,84","R$ 1.033,00",Ônibus,Diesel,3753,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Localização,Mais vantagens com o programa de fidelidade,Bom,Controle de abastecimentos,Eventual,Ofertas mais atraentes
Giovanna Campos,25,Feminino Transgênero,Indígena,Não,Solteiro(a),Ensino Básico Completo,Duque de Caxias,RJ,"R$ 2.120,42","R$ 424,08",Caminhão,Diesel,2632,Mensal,Localização,Fator de decisão,Lojas de Conveniência,Melhorias na qualidade do atendimento,Excelente,Controle de abastecimentos,Semanal,Ofertas mais atraentes
