"pessoa
nome","pessoa
idade","pessoa
genero","pessoa
etinia","pessoa
pcd","pessoa
estado civil","pessoa
escolaridade","pessoa
cidade","pessoa
estado ","pessoa
renda","veiculo
tipo","veiculo
combustivel","veiculo
km_mes","veiculo
abastecimento"
João Gabriel Cavalcanti,23,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Santa Maria,MS,"R$ 3.438,28",Ônibus,Diesel,1313,Semanal
João Gabriel Martins,67,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,São José do Campos,SP,"R$ 8.053,80",Moto,Gasolina,514,Quinzenal
João Guilherme Alves,78,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 7.210,40",Caminhão,Diesel,1584,Semanal
João Guilherme da Mota,62,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Franca,SP,"R$ 8.229,09",Caminhão,Diesel,3476,Quinzenal
João Guilherme das Neves,29,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Pós-graduação,Palmas,TO,"R$ 7.996,78",Ônibus,Diesel,497,Semanal
João Guilherme Fernandes,39,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Vila Velha,ES,"R$ 5.777,45",Caminhão,Diesel,2219,Diária
João Guilherme Martins,43,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Campinas,SP,"R$ 5.953,45",Ônibus,Diesel,2719,Diária
João Guilherme Pires,52,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Incompleto,Uberlândia,MG,"R$ 3.070,80",Carro,GNV,2577,Diária
João Guilherme Ribeiro,68,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 6.743,76",Ônibus,Diesel,843,Mensal
João Guilherme Souza,79,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Médio Incompleto,Fortaleza,CE,"R$ 1.618,52",Ônibus,Diesel,980,Semanal
João Lucas da Cunha,38,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 8.884,91",Moto,Gasolina,3751,Quinzenal
João Lucas Monteiro,21,Masculino Cisgênero,Indígena,Sim,Casado(a),Ensino Superior Incompleto,Santos,SP,"R$ 6.402,51",Caminhão,Diesel,3118,Mensal
João Lucas Pires,50,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Pós-graduação,Palmas,TO,"R$ 9.717,46",Carro,GNV,2450,Mensal
João Melo,49,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Contagem,MG,"R$ 7.421,66",Ônibus,Diesel,668,Quinzenal
João Miguel Gonçalves,19,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Básico Completo,Santa Maria,MS,"R$ 2.309,65",Ônibus,Diesel,2479,Diária
João Miguel Melo,77,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 9.778,16",Moto,Gasolina,4473,Diária
João Miguel Peixoto,33,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 5.518,39",Caminhão,Diesel,950,Semanal
João Pedro Almeida,40,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Piracicaba,SP,"R$ 7.839,09",Caminhonete,Diesel,4296,Mensal
João Pedro Alves,50,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Superior Incompleto,Minas Gerais,MG,"R$ 7.775,76",Moto,Gasolina,1069,Mensal
João Pedro Cunha,26,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 2.059,37",Carro,Gasolina,1332,Semanal
João Pedro da Conceição,69,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio Branco ,AC,"R$ 8.288,97",Moto,Gasolina,3148,Mensal
João Pedro da Paz,37,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Superior Incompleto,Jundiaí,SP,"R$ 8.588,02",Caminhão,Diesel,327,Quinzenal
João Pedro Gomes,23,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Completo,Pelotas,RS,"R$ 6.774,32",Moto,Gasolina,3664,Diária
João Pedro Lima,55,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Superior Completo,Uberlândia,MG,"R$ 8.231,77",Caminhonete,Diesel,3881,Semanal
João Pedro Martins,30,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Superior Incompleto,Palmas,TO,"R$ 6.878,01",Moto,Gasolina,4277,Mensal
João Rocha,73,Masculino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Piracicaba,SP,"R$ 6.351,90",Ônibus,Diesel,3446,Semanal
João Silveira,74,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Básico Completo,Contagem,MG,"R$ 3.667,24",Ônibus,Diesel,4908,Quinzenal
João Vitor Azevedo,51,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Palmas,TO,"R$ 2.181,66",Moto,Gasolina,2866,Diária
João Vitor Castro,44,Masculino Cisgênero,Indígena,Não,Solteiro(a),Pós-graduação,São Luís,CE,"R$ 9.301,81",Caminhão,Diesel,4805,Quinzenal
João Vitor Costela,18,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,São Bernardo do Campo,SP,"R$ 3.126,55",Carro,Álcool,2728,Mensal
João Vitor Cunha,32,Masculino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Completo,Santa Maria,MS,"R$ 5.755,70",Ônibus,Diesel,780,Semanal
Joaquim Campos,57,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Nova Iguaçu,RJ,"R$ 5.695,22",Ônibus,Diesel,2621,Mensal
Joaquim Castro,42,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,São João de Meriti,RJ,"R$ 2.446,37",Moto,Gasolina,4951,Diária
Joaquim Duarte,23,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Incompleto,Bauru,SP,"R$ 9.634,67",Moto,Gasolina,2140,Semanal
Joaquim Ferreira,22,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,Curitiba,PR,"R$ 3.733,66",Caminhonete,Diesel,1211,Semanal
Joaquim Martins,71,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Superior Incompleto,Santa Maria,MS,"R$ 5.943,01",Carro,GNV,1443,Semanal
Joaquim Melo,25,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,São José do Campos,SP,"R$ 2.580,17",Ônibus,Diesel,2588,Mensal
Joaquim Moraes,18,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 6.162,29",Moto,Gasolina,3326,Quinzenal
Juan Almeida,18,Masculino Transgênero,Preto(a),Não,Casado(a),Ensino Médio Incompleto,São Paulo,SP,"R$ 5.740,93",Ônibus,Diesel,2259,Semanal
Juan Correia,52,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,Uberlândia,MG,"R$ 1.532,16",Moto,Gasolina,2670,Mensal
Juan Freitas,39,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 6.749,84",Caminhão,Diesel,2904,Quinzenal
Juan Lopes,19,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Médio Incompleto,Campinas,SP,"R$ 7.090,40",Ônibus,Diesel,2769,Diária
Juan Moraes,19,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Incompleto,Campo Grande,MS,"R$ 6.525,44",Carro,GNV,916,Diária
Juan Ramos,66,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Fortaleza,CE,"R$ 5.079,07",Caminhonete,Diesel,1841,Mensal
Julia Castro,25,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 9.251,36",Caminhonete,Diesel,2470,Mensal
Julia Oliveira,31,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Pós-graduação,Vila Velha,ES,"R$ 4.800,40",Ônibus,Diesel,3413,Diária
Júlia Pereira,28,Feminino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Maringá,PR,"R$ 6.147,26",Carro,Álcool,2429,Mensal
Júlia Ramos,79,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Campinas,SP,"R$ 3.725,76",Caminhonete,Diesel,449,Eventual
Julia Teixeira,80,Feminino Cisgênero,Amarelo(a),Sim,Casado(a),Pós-graduação,Campinas,SP,"R$ 9.008,68",Caminhão,Diesel,3727,Semanal
Juliana da Costa,59,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,Montes Claros,MG,"R$ 9.458,35",Moto,Gasolina,3922,Diária
Juliana das Neves,63,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Completo,Jundiaí,SP,"R$ 9.086,73",Carro,Álcool,2578,Quinzenal
Juliana Nogueira,24,Feminino Cisgênero,Indígena,Não,Divorciado(a),Pós-graduação,Maringá,PR,"R$ 3.721,58",Caminhão,Diesel,3214,Semanal
Juliana Rocha,75,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 8.583,64",Moto,Gasolina,2805,Mensal
Kaique da Cruz,72,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Pós-graduação,São José do Rio Preto,SP,"R$ 6.354,13",Caminhão,Diesel,1508,Quinzenal
Kaique da Rocha,37,Outros,Indígena,Sim,Casado(a),Ensino Superior Completo,São José do Rio Preto,SP,"R$ 2.591,92",Ônibus,Diesel,4168,Semanal
Kaique Ferreira,20,Masculino Cisgênero,Indígena,Sim,Solteiro(a),Ensino Médio Incompleto,Jundiaí,SP,"R$ 3.131,33",Caminhão,Diesel,3987,Mensal
Kaique Silveira,80,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Básico Completo,Montes Claros,MG,"R$ 2.770,46",Moto,Gasolina,3598,Semanal
Kamilly da Conceição,22,Feminino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 1.595,59",Moto,Gasolina,3943,Diária
Kamilly da Conceição,74,Feminino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Médio Completo,Santarém ,PA,"R$ 7.232,84",Moto,Gasolina,4589,Mensal
Kamilly da Luz,32,Feminino Transgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,Santa Maria,MS,"R$ 5.511,58",Moto,Gasolina,3640,Quinzenal
Kamilly Pinto,38,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Curitiba,PR,"R$ 1.937,67",Caminhão,Diesel,3109,Mensal
Kamilly Rocha,73,Outros,Indígena,Sim,Solteiro(a),Ensino Médio Incompleto,Contagem,MG,"R$ 8.054,09",Ônibus,Diesel,4889,Semanal
Kamilly Rodrigues,40,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,Uberlândia,MG,"R$ 8.483,98",Ônibus,Diesel,4632,Semanal
Kevin Ferreira,70,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,Franca,SP,"R$ 9.790,31",Caminhão,Diesel,1170,Semanal
Kevin Gonçalves,70,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,Porto Velho,RO,"R$ 9.946,13",Carro,GNV,530,Semanal
Kevin Monteiro,29,Outros,Branco(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 7.429,31",Caminhão,Diesel,1337,Mensal
Kevin Rezende,80,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Governador Valadares,MG,"R$ 1.518,99",Caminhão,Diesel,4815,Mensal
Kevin Ribeiro,54,Masculino Cisgênero,Indígena,Sim,Casado(a),Ensino Médio Completo,Belém do Pará,PA,"R$ 4.285,06",Moto,Gasolina,4307,Diária
Laís Aragão,26,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,Rio Branco ,AC,"R$ 8.228,45",Caminhão,Diesel,713,Quinzenal
Laís Carvalho,41,Feminino Cisgênero,Pardo(a),Sim,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 7.892,31",Caminhão,Diesel,1050,Quinzenal
Laís da Mota,65,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 6.977,77",Carro,Álcool,1373,Mensal
Lara Castro,69,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Belém do Pará,PA,"R$ 4.060,19",Ônibus,Diesel,4470,Semanal
Lara Rodrigues,49,Feminino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Superior Incompleto,Curitiba,PR,"R$ 4.185,32",Moto,Gasolina,581,Diária
Larissa Alves,28,Feminino Transgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Manaus,AM,"R$ 3.909,83",Caminhão,Diesel,3533,Semanal
Laura Castro,75,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Superior Completo,São Bernardo do Campo,SP,"R$ 7.086,15",Caminhão,Diesel,3054,Diária
Laura Mendes,64,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Belo Horizonte,SC,"R$ 2.808,14",Carro,Gasolina,3157,Quinzenal
Laura Moraes,38,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Pós-graduação,Rio Branco ,AC,"R$ 3.515,57",Moto,Gasolina,4064,Diária
Laura Nogueira,60,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Completo,Rio Branco ,AC,"R$ 5.048,05",Ônibus,Diesel,3461,Mensal
Laura Novaes,34,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Incompleto,Montes Claros,MG,"R$ 6.807,11",Ônibus,Diesel,3683,Mensal
Laura Ribeiro,76,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,São José do Rio Preto,SP,"R$ 6.462,28",Caminhão,Diesel,281,Semanal
Laura Silva,25,Feminino Transgênero,Amarelo(a),Não,Casado(a),Ensino Médio Incompleto,Vitória,ES,"R$ 3.343,46",Ônibus,Diesel,3857,Diária
Laura Viana,25,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Básico Completo,Palmas,TO,"R$ 3.212,65",Caminhão,Diesel,1900,Diária
Lavínia Azevedo,40,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Incompleto,Recife,PE,"R$ 2.467,67",Carro,Gasolina,23,Mensal
Lavínia Barros,69,Feminino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Incompleto,Maceió,AL,"R$ 4.369,64",Caminhão,Diesel,1998,Semanal
Lavínia da Luz,37,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Incompleto,Rio de Janeiro,AL,"R$ 1.800,34",Caminhonete,Diesel,2968,Semanal
Lavínia da Paz,63,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 4.662,51",Caminhonete,Diesel,169,Quinzenal
Lavínia Dias,60,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Palmas,TO,"R$ 2.984,25",Moto,Gasolina,839,Quinzenal
Lavínia Fernandes,34,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Salvador,BA,"R$ 1.455,06",Moto,Gasolina,3246,Semanal
Lavínia Santos,78,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 3.736,39",Caminhão,Diesel,1897,Quinzenal
Leandro da Cruz,46,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Incompleto,São Bernardo do Campo,SP,"R$ 7.913,27",Caminhonete,Diesel,2754,Semanal
Leandro da Luz,63,Masculino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Taubaté ,SP,"R$ 9.348,97",Moto,Gasolina,3993,Mensal
Leandro Fogaça,26,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Médio Completo,Piracicaba,SP,"R$ 9.797,90",Caminhão,Diesel,3267,Quinzenal
Leonardo Costa,63,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Recife,PE,"R$ 8.508,69",Moto,Gasolina,3499,Diária
Leonardo Cruz,33,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Londrina,PR,"R$ 2.950,66",Moto,Gasolina,4184,Mensal
Leonardo da Rosa,24,Masculino Cisgênero,Indígena,Sim,Solteiro(a),Ensino Superior Completo,Maringá,PR,"R$ 5.497,97",Carro,Álcool,417,Mensal
Leonardo das Neves,33,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Campo Grande,MS,"R$ 5.888,06",Moto,Gasolina,44,Diária
Leonardo Freitas,68,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,AL,"R$ 9.144,39",Caminhonete,Diesel,150,Mensal
Leonardo Rezende,80,Masculino Cisgênero,Indígena,Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 8.783,36",Caminhão,Diesel,348,Quinzenal
Leonardo Silveira,38,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,São José do Campos,SP,"R$ 3.937,12",Carro,GNV,4410,Quinzenal
Leonardo Vieira,32,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Caxias do Sul,RS,"R$ 2.520,80",Moto,Gasolina,4314,Mensal
Letícia das Neves,75,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Pós-graduação,Vitória,ES,"R$ 6.396,68",Ônibus,Diesel,280,Mensal
Letícia Ferreira,24,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Montes Claros,MG,"R$ 9.196,19",Moto,Gasolina,26,Diária
Letícia Pires,33,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Rio Branco ,AC,"R$ 9.279,57",Carro,Álcool,1664,Diária
Letícia Vieira,30,Feminino Transgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Incompleto,São José do Campos,SP,"R$ 7.882,22",Moto,Gasolina,4561,Diária
Levi Fernandes,44,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Incompleto,São José do Rio Preto,SP,"R$ 5.973,79",Carro,Álcool,849,Semanal
Levi Teixeira,48,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 5.894,38",Carro,GNV,4311,Diária
Levi Vieira,79,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Manaus,AM,"R$ 4.217,20",Caminhão,Diesel,449,Semanal
Lívia Almeida,39,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Governador Valadares,MG,"R$ 4.921,27",Caminhonete,Diesel,2253,Mensal
Lívia Costela,21,Feminino Transgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Salvador,BA,"R$ 4.022,14",Carro,Álcool,2506,Semanal
Lívia da Cunha,70,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Incompleto,Contagem,MG,"R$ 9.241,51",Ônibus,Diesel,1624,Quinzenal
Lívia da Rosa,26,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Belém do Pará,PA,"R$ 9.049,61",Carro,Álcool,147,Mensal
Lívia Lima,68,Feminino Cisgênero,Preto(a),Sim,Casado(a),Ensino Superior Incompleto,Goiânia,GO,"R$ 3.688,30",Moto,Gasolina,1197,Diária
Lorena Correia,49,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Básico Completo,Londrina,PR,"R$ 5.641,77",Caminhão,Diesel,4993,Quinzenal
Lorena da Mota,37,Feminino Cisgênero,Indígena,Sim,Casado(a),Pós-graduação,Pelotas,RS,"R$ 3.389,64",Caminhão,Diesel,551,Diária
Lorena da Rocha,19,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Contagem,MG,"R$ 7.888,00",Caminhão,Diesel,1698,Diária
Lorena Duarte,55,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,São José do Rio Preto,SP,"R$ 7.904,08",Moto,Gasolina,3226,Eventual
Lorena Fernandes,21,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 6.426,45",Caminhão,Diesel,1001,Mensal
Lorena Melo,79,Feminino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Pelotas,RS,"R$ 8.643,73",Moto,Gasolina,948,Mensal
Lorena Rocha,25,Feminino Transgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 4.674,76",Carro,GNV,3094,Diária
Lorena Souza,54,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Incompleto,Rio de Janeiro,RJ,"R$ 1.654,25",Ônibus,Diesel,3829,Quinzenal
Lorenzo Costa,63,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Belém do Pará,PA,"R$ 9.233,34",Caminhonete,Diesel,3838,Diária
Lorenzo Ferreira,73,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,Fortaleza,CE,"R$ 3.437,75",Carro,GNV,849,Mensal
Lorenzo Silveira,61,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,Duque de Caxias,RJ,"R$ 7.812,03",Carro,Gasolina,2360,Mensal
Luana Campos,25,Feminino Transgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Campinas,SP,"R$ 8.348,64",Ônibus,Diesel,2208,Semanal
Luana Cunha,40,Feminino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Completo,Uberlândia,MG,"R$ 3.267,95",Ônibus,Diesel,2597,Quinzenal
Luana Porto,24,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 2.973,79",Moto,Gasolina,117,Mensal
Luana Silva,27,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Completo,Pelotas,RS,"R$ 9.718,02",Ônibus,Diesel,1617,Mensal
Lucas Barros,44,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 7.994,55",Ônibus,Diesel,3366,Mensal
Lucas da Paz,34,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Caruaru,PE,"R$ 8.468,67",Moto,Gasolina,3440,Semanal
Lucas Gabriel Araújo,58,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Básico Completo,Franca,SP,"R$ 1.425,94",Ônibus,Diesel,4182,Quinzenal
Lucas Gabriel Azevedo,35,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Natal,RN,"R$ 7.038,85",Moto,Gasolina,2354,Quinzenal
Lucas Gabriel Cardoso,19,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Completo,Duque de Caxias,RJ,"R$ 4.800,46",Carro,GNV,4261,Quinzenal
Lucas Gabriel Costela,52,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Vila Velha,ES,"R$ 2.799,34",Ônibus,Diesel,3045,Semanal
Lucas Gabriel Costela,55,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Pós-graduação,Natal,RN,"R$ 3.762,40",Carro,Álcool,1439,Mensal
Lucas Nogueira,35,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 5.486,10",Moto,Gasolina,3372,Mensal
Lucas Novaes,19,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,Caxias do Sul,RS,"R$ 4.711,58",Caminhonete,Diesel,3512,Semanal
Lucas Nunes,72,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Completo,Palmas,TO,"R$ 4.672,76",Caminhão,Diesel,966,Eventual
Lucas Silva,20,Outros,Amarelo(a),Não,Viúvo(a),Pós-graduação,Florianópolis,SC,"R$ 7.064,12",Ônibus,Diesel,1615,Diária
Lucca Barros,65,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Santarém ,PA,"R$ 4.183,77",Moto,Gasolina,3790,Diária
Lucca Duarte,33,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,Palmas,TO,"R$ 8.740,44",Moto,Gasolina,1305,Diária
Lucca Monteiro,70,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Piracicaba,SP,"R$ 6.256,10",Moto,Gasolina,4571,Semanal
Luigi Cardoso,28,Masculino Cisgênero,Amarelo(a),Sim,Divorciado(a),Pós-graduação,Vila Velha,ES,"R$ 6.923,12",Carro,Gasolina,29,Semanal
Luigi Ferreira,74,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 6.507,78",Caminhão,Diesel,3185,Quinzenal
Luigi Vieira,72,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Incompleto,Governador Valadares,MG,"R$ 6.876,78",Caminhão,Diesel,4392,Quinzenal
Luiz Felipe Cavalcanti,57,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,São José do Campos,SP,"R$ 9.598,31",Ônibus,Diesel,4654,Quinzenal
Luiz Felipe Moura,54,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 5.036,13",Ônibus,Diesel,1911,Diária
Luiz Felipe Ramos,65,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Pós-graduação,Jundiaí,SP,"R$ 3.421,93",Moto,Gasolina,1779,Quinzenal
Luiz Felipe Santos,60,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 5.688,98",Caminhão,Diesel,2295,Quinzenal
Luiz Fernando Fernandes,56,Masculino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Santos,SP,"R$ 7.830,30",Caminhão,Diesel,2898,Semanal
Luiz Fernando Gonçalves,64,Masculino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Taubaté ,SP,"R$ 5.568,93",Ônibus,Diesel,776,Quinzenal
Luiz Fernando Melo,48,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,São Paulo,SP,"R$ 1.815,08",Carro,GNV,2520,Mensal
Luiz Fernando Souza,54,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Campinas,SP,"R$ 2.216,11",Moto,Gasolina,1825,Diária
Luiz Gustavo Fogaça,73,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 6.839,79",Moto,Gasolina,1185,Quinzenal
